,iterator_record,time_record,temp_record_CPU,temp_record_GPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,51.0,47.5,0.0,0.0,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.37531,51.0,47.0,76.2,1.37531,0.0,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.385045,49.5,47.0,0.0,1.37531,0.0,1.385045,efficientdet_lite4_detection_metadata_2,0.4196,NA
3,1,2.7478670000000003,49.5,47.0,86.2,1.362822,0.0,1.385045,efficientdet_lite4_detection_metadata_2,0.4196,NA
4,2,2.7503290000000002,49.5,47.0,100.0,1.362822,0.0,1.365284,efficientdet_lite4_detection_metadata_2,0.4196,NA
5,2,4.1157710000000005,49.5,47.0,86.2,1.365442,0.0,1.365284,efficientdet_lite4_detection_metadata_2,0.4196,NA
6,3,4.118242,49.5,47.0,50.0,1.365442,0.0,1.367913,efficientdet_lite4_detection_metadata_2,0.4196,NA
7,3,5.4822820000000005,49.5,47.0,86.0,1.36404,0.0,1.367913,efficientdet_lite4_detection_metadata_2,0.4196,NA
8,4,5.484802,49.5,47.0,0.0,1.36404,0.0,1.36656,efficientdet_lite4_detection_metadata_2,0.4196,NA
9,4,6.860313,51.0,47.5,85.6,1.375511,0.0,1.36656,efficientdet_lite4_detection_metadata_2,0.4196,NA
10,5,6.862768000000001,51.0,47.5,0.0,1.375511,0.0,1.377966,efficientdet_lite4_detection_metadata_2,0.4196,NA
11,5,8.236639,51.0,47.5,85.9,1.373871,0.0,1.377966,efficientdet_lite4_detection_metadata_2,0.4196,NA
12,6,8.239177000000002,51.0,47.5,50.0,1.373871,0.0,1.376409,efficientdet_lite4_detection_metadata_2,0.4196,NA
13,6,9.602604000000001,51.0,47.5,86.3,1.363427,0.0,1.376409,efficientdet_lite4_detection_metadata_2,0.4196,NA
14,7,9.605054,51.0,47.0,0.0,1.363427,0.0,1.365877,efficientdet_lite4_detection_metadata_2,0.4196,NA
15,7,10.970341000000001,51.5,47.5,86.3,1.365287,0.0,1.365877,efficientdet_lite4_detection_metadata_2,0.4196,NA
16,8,10.972809000000002,51.5,47.5,0.0,1.365287,0.0,1.367755,efficientdet_lite4_detection_metadata_2,0.4196,NA
17,8,12.339616000000001,51.5,47.5,85.9,1.366807,0.0,1.367755,efficientdet_lite4_detection_metadata_2,0.4196,NA
18,9,12.342136000000002,51.5,47.5,0.0,1.366807,0.0,1.369327,efficientdet_lite4_detection_metadata_2,0.4196,NA
19,9,13.706870000000002,51.5,47.5,86.1,1.364734,0.0,1.369327,efficientdet_lite4_detection_metadata_2,0.4196,NA
20,10,13.709389000000002,51.5,47.5,0.0,1.364734,0.0,1.367253,efficientdet_lite4_detection_metadata_2,0.4196,NA
21,10,15.079932000000001,51.0,47.5,85.9,1.370543,0.0,1.367253,efficientdet_lite4_detection_metadata_2,0.4196,NA
22,11,15.082396000000001,51.0,47.5,0.0,1.370543,0.0,1.373007,efficientdet_lite4_detection_metadata_2,0.4196,NA
23,11,16.450471,51.5,47.5,85.7,1.368075,0.0,1.373007,efficientdet_lite4_detection_metadata_2,0.4196,NA
